"jjj","margin","n","true_es","scale","equiv","hdi","bf","tost"
882,0.3,100,0.22,0.707106781186547,0.13112,0.124864929763477,0.12528,0.11688
883,0.1,250,0.22,0.707106781186547,0.00516,0.0055620023208355,0.0056,0
884,0.2,250,0.22,0.707106781186547,0.0316,0.0320115241486935,0.03196,0.03008
885,0.3,250,0.22,0.707106781186547,0.22556,0.226121403705334,0.22816,0.22448
886,0.1,500,0.22,0.707106781186547,0.00032,0.000280011200448018,0.00032,0
887,0.2,500,0.22,0.707106781186547,0.0248,0.0247609904396176,0.02484,0.02468
888,0.3,500,0.22,0.707106781186547,0.3488,0.348773950958038,0.349,0.34808
889,0.1,50,0.23,0.707106781186547,0.02788,0.0296871249099784,0.02972,0
890,0.2,50,0.23,0.707106781186547,0.04256,0.0427302552612627,0.04304,0
891,0.3,50,0.23,0.707106781186547,0.08232,0.0777386572777467,0.07648,0.00184
892,0.1,100,0.23,0.707106781186547,0.01872,0.017687074829932,0.01788,0
893,0.2,100,0.23,0.707106781186547,0.03724,0.0387354941976791,0.0366,4e-05
894,0.3,100,0.23,0.707106781186547,0.11868,0.113045218087235,0.11296,0.10656
895,0.1,250,0.23,0.707106781186547,0.00404,0.00428137003841229,0.0046,0
896,0.2,250,0.23,0.707106781186547,0.02552,0.0257682458386684,0.02568,0.0238
897,0.3,250,0.23,0.707106781186547,0.19348,0.194262163892446,0.19564,0.19256
898,0.1,500,0.23,0.707106781186547,8e-05,8e-05,0.00012,0
899,0.2,500,0.23,0.707106781186547,0.01568,0.01572,0.01564,0.01564
900,0.3,500,0.23,0.707106781186547,0.2938,0.29396,0.29408,0.29332
901,0.1,50,0.24,0.707106781186547,0.02688,0.0291634996199544,0.02836,0
902,0.2,50,0.24,0.707106781186547,0.04024,0.0408849061887427,0.0406,0
903,0.3,50,0.24,0.707106781186547,0.07816,0.0738488618634236,0.07276,0.0022
904,0.1,100,0.24,0.707106781186547,0.01632,0.0167300380228137,0.01624,0
905,0.2,100,0.24,0.707106781186547,0.03392,0.0355413247948769,0.03328,0
906,0.3,100,0.24,0.707106781186547,0.10732,0.101821092655593,0.10208,0.09452
907,0.1,250,0.24,0.707106781186547,0.00272,0.00288034564147698,0.00336,0
908,0.2,250,0.24,0.707106781186547,0.0196,0.0195223426811217,0.01964,0.01828
909,0.3,250,0.24,0.707106781186547,0.16348,0.163979677561307,0.16504,0.1626
910,0.1,500,0.24,0.707106781186547,0.00012,0.00012,0.00016,0
911,0.2,500,0.24,0.707106781186547,0.01088,0.01092,0.01092,0.01084
912,0.3,500,0.24,0.707106781186547,0.24196,0.24192,0.24196,0.24148
913,0.1,50,0.25,0.707106781186547,0.02688,0.0275710284113645,0.02736,0
914,0.2,50,0.25,0.707106781186547,0.03844,0.0379751900760304,0.039,0
915,0.3,50,0.25,0.707106781186547,0.07364,0.0705082032813125,0.06924,0.00232
916,0.1,100,0.25,0.707106781186547,0.0134,0.0140484290574345,0.0142,0
917,0.2,100,0.25,0.707106781186547,0.0312,0.031138683209926,0.02972,0
918,0.3,100,0.25,0.707106781186547,0.09364,0.0896938162897739,0.08932,0.08404
919,0.1,250,0.25,0.707106781186547,0.00212,0.00228054733135953,0.0024,0
920,0.2,250,0.25,0.707106781186547,0.01452,0.0147635432503801,0.01468,0.01376
921,0.3,250,0.25,0.707106781186547,0.13804,0.138513243178363,0.13924,0.13744
922,0.1,500,0.25,0.707106781186547,0.00012,0.00012,8e-05,0
923,0.2,500,0.25,0.707106781186547,0.00652,0.00656,0.00656,0.00652
